#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T16:59:47Z
,,node05,buda,tempAvg,tempAvg,6,2022-12-03T16:59:47Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T16:59:47Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T16:59:47Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T16:59:47Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T17:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T17:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T17:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T17:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T17:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T18:59:48Z
,,node05,buda,tempAvg,tempAvg,5,2022-12-03T18:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T18:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T18:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T18:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T19:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T19:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T19:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T19:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T19:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T20:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T20:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T20:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T20:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T20:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T21:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T21:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T21:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T21:59:48Z
,,node05,buda,tempAvg,tempAvg,4,2022-12-03T21:59:48Z
